,Symbol,Datetime,Interval,Open,High,Low,Close,Volume,Exchange
226,ADANIPOWER,2025-03-03 11:43:00+05:30,1minute,479.7,479.8,479.45,479.55,2229,NSE_EQ
227,ADANIPOWER,2025-03-03 11:42:00+05:30,1minute,479.3,480.45,479.0,479.65,8388,NSE_EQ
228,ADANIPOWER,2025-03-03 11:41:00+05:30,1minute,479.2,479.35,478.85,479.3,3878,NSE_EQ
229,ADANIPOWER,2025-03-03 11:40:00+05:30,1minute,479.1,479.35,478.8,479.1,871,NSE_EQ
230,ADANIPOWER,2025-03-03 11:39:00+05:30,1minute,478.1,479.25,478.1,479.25,6478,NSE_EQ
231,ADANIPOWER,2025-03-03 11:38:00+05:30,1minute,478.4,479.0,478.1,478.1,5290,NSE_EQ
232,ADANIPOWER,2025-03-03 11:37:00+05:30,1minute,478.75,479.05,478.25,478.5,3194,NSE_EQ
233,ADANIPOWER,2025-03-03 11:36:00+05:30,1minute,479.4,479.6,478.75,479.05,6055,NSE_EQ
234,ADANIPOWER,2025-03-03 11:35:00+05:30,1minute,479.85,479.85,479.2,479.2,5387,NSE_EQ
235,ADANIPOWER,2025-03-03 11:34:00+05:30,1minute,479.75,480.15,479.35,479.9,8267,NSE_EQ
236,ADANIPOWER,2025-03-03 11:33:00+05:30,1minute,479.8,480.15,479.3,480.05,6227,NSE_EQ
237,ADANIPOWER,2025-03-03 11:32:00+05:30,1minute,479.2,479.9,479.1,479.8,1999,NSE_EQ
238,ADANIPOWER,2025-03-03 11:31:00+05:30,1minute,479.3,479.5,479.1,479.1,2064,NSE_EQ
239,ADANIPOWER,2025-03-03 11:30:00+05:30,1minute,479.3,479.6,479.05,479.3,2209,NSE_EQ
240,ADANIPOWER,2025-03-03 11:29:00+05:30,1minute,479.15,479.8,479.0,479.4,2794,NSE_EQ
241,ADANIPOWER,2025-03-03 11:28:00+05:30,1minute,479.7,479.75,479.15,479.15,2654,NSE_EQ
242,ADANIPOWER,2025-03-03 11:27:00+05:30,1minute,479.5,479.9,479.25,479.75,1949,NSE_EQ
243,ADANIPOWER,2025-03-03 11:26:00+05:30,1minute,479.7,479.85,479.15,479.25,4980,NSE_EQ
244,ADANIPOWER,2025-03-03 11:25:00+05:30,1minute,479.9,480.3,479.4,479.65,6935,NSE_EQ
245,ADANIPOWER,2025-03-03 11:24:00+05:30,1minute,479.6,480.7,479.3,479.9,9148,NSE_EQ
246,ADANIPOWER,2025-03-03 11:23:00+05:30,1minute,479.15,480.3,479.1,479.6,11100,NSE_EQ
247,ADANIPOWER,2025-03-03 11:22:00+05:30,1minute,478.8,479.35,478.8,479.1,2725,NSE_EQ
248,ADANIPOWER,2025-03-03 11:21:00+05:30,1minute,478.8,479.0,478.75,479.0,2513,NSE_EQ
249,ADANIPOWER,2025-03-03 11:20:00+05:30,1minute,478.85,479.0,478.6,478.8,4313,NSE_EQ
250,ADANIPOWER,2025-03-03 11:19:00+05:30,1minute,479.35,479.35,478.2,478.55,11788,NSE_EQ
251,ADANIPOWER,2025-03-03 11:18:00+05:30,1minute,479.55,479.85,479.2,479.35,5088,NSE_EQ
252,ADANIPOWER,2025-03-03 11:17:00+05:30,1minute,479.6,479.95,479.05,479.55,12045,NSE_EQ
253,ADANIPOWER,2025-03-03 11:16:00+05:30,1minute,479.5,479.95,478.8,479.6,8351,NSE_EQ
254,ADANIPOWER,2025-03-03 11:15:00+05:30,1minute,479.6,479.95,479.25,479.6,5955,NSE_EQ
255,ADANIPOWER,2025-03-03 11:14:00+05:30,1minute,479.8,480.3,479.5,479.8,10287,NSE_EQ
256,ADANIPOWER,2025-03-03 11:13:00+05:30,1minute,479.25,479.9,478.65,479.8,17534,NSE_EQ
257,ADANIPOWER,2025-03-03 11:12:00+05:30,1minute,478.6,479.5,478.5,479.45,4831,NSE_EQ
258,ADANIPOWER,2025-03-03 11:11:00+05:30,1minute,479.35,479.6,478.25,478.7,14463,NSE_EQ
259,ADANIPOWER,2025-03-03 11:10:00+05:30,1minute,479.9,480.0,479.3,479.35,3748,NSE_EQ
260,ADANIPOWER,2025-03-03 11:09:00+05:30,1minute,479.05,479.95,479.0,479.95,31037,NSE_EQ
261,ADANIPOWER,2025-03-03 11:08:00+05:30,1minute,480.5,480.8,479.1,479.3,28601,NSE_EQ
262,ADANIPOWER,2025-03-03 11:07:00+05:30,1minute,481.0,481.5,480.3,480.3,10115,NSE_EQ
263,ADANIPOWER,2025-03-03 11:06:00+05:30,1minute,481.15,481.8,481.0,481.2,7005,NSE_EQ
264,ADANIPOWER,2025-03-03 11:05:00+05:30,1minute,481.5,481.5,480.5,481.15,5195,NSE_EQ
265,ADANIPOWER,2025-03-03 11:04:00+05:30,1minute,481.35,481.65,480.7,481.65,11502,NSE_EQ
266,ADANIPOWER,2025-03-03 11:03:00+05:30,1minute,482.4,482.4,481.15,481.2,7232,NSE_EQ
267,ADANIPOWER,2025-03-03 11:02:00+05:30,1minute,482.4,482.9,482.0,482.5,11984,NSE_EQ
268,ADANIPOWER,2025-03-03 11:01:00+05:30,1minute,482.15,482.45,481.65,482.45,5182,NSE_EQ
269,ADANIPOWER,2025-03-03 11:00:00+05:30,1minute,482.35,482.9,482.05,482.15,7776,NSE_EQ
270,ADANIPOWER,2025-03-03 10:59:00+05:30,1minute,481.4,482.2,481.1,482.1,11584,NSE_EQ
271,ADANIPOWER,2025-03-03 10:58:00+05:30,1minute,481.5,481.75,480.95,481.25,7814,NSE_EQ
272,ADANIPOWER,2025-03-03 10:57:00+05:30,1minute,479.95,481.8,479.75,481.55,8534,NSE_EQ
273,ADANIPOWER,2025-03-03 10:56:00+05:30,1minute,480.0,480.6,479.75,479.8,4301,NSE_EQ
274,ADANIPOWER,2025-03-03 10:55:00+05:30,1minute,481.6,481.6,479.5,479.95,9209,NSE_EQ
275,ADANIPOWER,2025-03-03 10:54:00+05:30,1minute,480.6,481.75,480.4,481.65,12940,NSE_EQ
276,ADANIPOWER,2025-03-03 10:53:00+05:30,1minute,481.35,481.55,480.5,480.6,9616,NSE_EQ
277,ADANIPOWER,2025-03-03 10:52:00+05:30,1minute,482.3,482.3,481.2,481.2,9008,NSE_EQ
278,ADANIPOWER,2025-03-03 10:51:00+05:30,1minute,482.0,482.7,481.5,482.35,16846,NSE_EQ
279,ADANIPOWER,2025-03-03 10:50:00+05:30,1minute,482.8,482.85,481.2,482.15,14927,NSE_EQ
280,ADANIPOWER,2025-03-03 10:49:00+05:30,1minute,483.35,483.5,482.55,482.8,11046,NSE_EQ
281,ADANIPOWER,2025-03-03 10:48:00+05:30,1minute,482.15,483.75,481.75,483.75,25926,NSE_EQ
282,ADANIPOWER,2025-03-03 10:47:00+05:30,1minute,482.4,482.45,481.2,482.1,14857,NSE_EQ
283,ADANIPOWER,2025-03-03 10:46:00+05:30,1minute,481.6,482.65,481.15,482.3,16585,NSE_EQ
284,ADANIPOWER,2025-03-03 10:45:00+05:30,1minute,480.95,481.85,480.35,481.5,18067,NSE_EQ
